year,season,cat_id,cat_type,PM,TOG,NOx,SOx,CO,CO2,CH4,N2O,HFC,BCO2,SF6
1990,Annual,285,Area,0.043217,0.062551,0.534525,0.003412,0.227457,682.37207,0.013079,0.01251,0,0,0
1990,Annual,286,Area,0.009136,0.024701,0.307915,0.018272,0.06429,421.268921,0.00674,0.030331,0,0,0
1990,Annual,287,Area,0.009418,0.009418,0.067809,0.267469,0.018836,96.590286,0.001782,0.002001,0,0,0
1990,Annual,288,Area,5.381994,7.978592,0.517455,0.093235,31.828125,0,6.992631,0.074588,0,699.263062,0
1990,Annual,289,Area,13.834444,11.591021,0.97215,0.149562,94.44812,0,11.217117,0.119649,0,1121.711426,0
1990,Annual,304,Area,0.15,0.51,3.79,0.121,1.42,850.144897,0.044987,0,0,0,0
1990,Annual,314,Area,0.081184,0.065792,0.07877,0.026619,0.193152,60.329765,0.044546,0.000066,0,0,0
1990,Annual,315,Area,0.081006,0.108347,0.048288,0.001576,0.657591,0,0.001298,0.003244,0,1.611212,0
1990,Annual,316,Area,0.022405,0.030944,0.006045,0.000756,0.156041,0,0.006801,0.000302,0,0.152137,0
1990,Annual,317,Area,0.065458,0.07624,0.019515,0.002591,0.461567,0,0.012147,0.000972,0,0.48586,0
1990,Annual,318,Area,0.027172,0.031571,0.007557,0.001008,0.191444,0,0.007389,0.000504,0,0.247365,0
1990,Annual,319,Area,0.010311,0.014045,0.006603,0.000127,0.083811,0,0.007238,0.000444,0,0.220754,0
1990,Annual,344,Area,0.007,0,0.091,0.042,0.007,4.18,0,0,0,0,0
1990,Annual,345,Area,0.035,0.014,0.579,0.279,0.028,30.689999,0.007,0,0,0,0
1990,Annual,346,Area,0,0,0.007,0,0,0.7,0,0,0,0,0
1990,Annual,347,Area,0,0,0.056,0.007,0.007,2.79,0,0,0,0,0
1990,Annual,348,Area,0.244,0.565,4.708,0.021,1.067,0,0,0,0,0,0
1990,Annual,349,Area,0.028,0.007,0.272,0.216,0.021,13.950001,0,0,0,0,0
1990,Annual,350,Area,0.181,0.049,1.751,1.409,0.139,89.270004,0.014,0.007,0,0,0
1990,Annual,351,Area,0,0,0.063,0.007,0.007,3.49,0,0,0,0,0
1990,Annual,352,Area,0.014,0.014,0.418,0.063,0.035,20.919998,0,0,0,0,0
1990,Annual,353,Area,0.23,0.091,2.741,1.653,0.209,151.339996,0.021,0.007,0,0,0
1990,Annual,354,Area,1.52,0.586,17.868,10.789,1.381,907.349976,0.105,0.042,0,0,0
1990,Annual,355,Area,0,0,0.028,0.007,0,1.39,0,0,0,0,0
1990,Annual,356,Area,0.007,0.007,0.202,0.028,0.014,10.459999,0,0,0,0,0
1990,Annual,358,Area,0.0012,0.1186,0.0299,0,0.504,3.343354,0.001834,0.000085,0,0,0
1990,Annual,359,Area,1.0461,2.5764,21.355499,0.103,4.7332,1069.23877,0.058514,0.390096,0,0,0
1990,Annual,441,Area,0.000031,0.023477,0.007174,0.000595,0.043749,11.338602,0.002229,0.00036,0,0,0
1990,Annual,442,Area,0.000076,0.058674,0.01793,0.001488,0.109336,28.337357,0.005555,0.0009,0,0,0
1990,Annual,443,Area,0.00016,0.02,0.06,0.002393,0.19,59.260414,0.011616,0.001883,0,0,0
1990,Annual,444,Area,0.000028,0.021769,0.006652,0.000552,0.040566,10.513754,0.002061,0.000334,0,0,0
1990,Annual,446,Area,0.000032,0.024613,0.007707,0.000602,0.045403,11.828564,0.002319,0.000376,0,0,0
1990,Annual,447,Area,0.000041,0.031731,0.009697,0.000805,0.059129,15.324924,0.003004,0.000487,0,0,0
1990,Annual,448,Area,0.000004,0.002956,0.000926,0.000072,0.005452,1.420385,0.000278,0.000045,0,0,0
1990,Annual,449,Area,0.000004,0.002922,0.000915,0.000071,0.00539,1.40409,0.000275,0.000045,0,0,0
1990,Annual,450,Area,0.000015,0.01,0.01,0.000231,0.03,5.727438,0.001123,0.000182,0,0,0
1990,Annual,451,Area,0.000029,0.02258,0.007071,0.000552,0.041654,10.851898,0.002127,0.000345,0,0,0
1990,Annual,452,Area,0.000051,0.03,0.04,0.00077,0.13,19.072178,0.003738,0.000606,0,0,0
1990,Annual,453,Area,0.000002,0.001914,0.000599,0.000047,0.003532,0.920057,0.00018,0.000029,0,0,0
1990,Annual,455,Area,0.000062,0.047893,0.014998,0.001171,0.08835,23.017143,0.004512,0.000731,0,0,0
1990,Annual,456,Area,0.001496,0.06462,0.008975,0.005535,1.899854,62.376129,0.009723,0.002393,0,0,0
1990,Annual,463,Area,0.001675,0.072366,0.010051,0.006198,2.127591,69.853195,0.010888,0.00268,0,0,0
1990,Annual,475,Area,0.00117,0.14,0.02,0.00351,1.48,48.793076,0.007606,0.001872,0,0,0
